name,user_id,verified,username,location,created_at,possibly_sensitive,lang,tweet_id,edit_history_tweet_ids,source,text,type
Steph García,319389105,False,Steph_Garcia94,Victoria¡Por siempre Gloriosa!,2022-11-21 19:15:10+00:00,False,art,1594771420747337751,['1594771420747337751'],Twitter for iPhone,❤️ https://t.co/YdChhzFwCk,quoted
Pelotita de Futbol,1594351093059829761,False,labochanews,,2022-11-21 19:15:02+00:00,False,es,1594771387721388044,['1594771387721388044'],Twitter Web App,"@2010MisterChip El único antecedente de #WAL contra selecciones CONCACAF es un empate vs. #MEX, que significó el primer punto de @miseleccionmx en #CopaMundialFIFA",replied_to
Meganoticias León,1106902297,False,MeganoticiaLEO,"León, Guanajuato",2022-11-21 19:14:59+00:00,False,es,1594771372374634496,['1594771372374634496'],Twitter Web App,"#Deportes ⚽️🇲🇽 Gerardo Martino, técnico de @miseleccionmx, reconoció que ante Polonia 🇵🇱 se juegan la posibilidad de avanzar a la siguiente fase de la #CopaDelMundo 🏆

📲💻https://t.co/xVhb6Xy0zu

https://t.co/DxlEnr9lld",
Mateus,34436035,False,mateusoff,🇧🇷🇦🇷,2022-11-21 19:14:24+00:00,False,es,1594771225343148032,['1594771225343148032'],Twitter Web App,"Muy raro, quizás ustedes en México no tengan la misma impresión, pero tengo para mi muy claro que mañana sí o sí @miseleccionmx define su clasificación. Para mi el juego más ""decisivo"" en la abertura de todo el mundial.",
Amelia Arceo,3221485717,False,ameliarceo,,2022-11-21 19:14:17+00:00,False,es,1594771198394912768,['1594771198394912768'],Twitter for Android,@AZULKREMAS1916 @HenryMartinM @miseleccionmx @ClubAmerica Ojalá y sí y explote la Bomba...,replied_to
Jozef Burdej,70288813,False,jozefburdej,,2022-11-21 19:14:08+00:00,False,es,1594771158867791872,['1594771158867791872'],Twitter for Android,En este perfil normalizamos llorar por todo. 🫶🏻. https://t.co/Us2JdiEn45,quoted
Santana Navarro Molina Aispuro Quintero Zambada,1587275259215896576,False,SantanaElbebe,,2022-11-21 19:14:04+00:00,False,en,1594771142077976576,['1594771142077976576'],Twitter for iPhone,us good mexicans are supporting @USMNT @miseleccionmx #concacaf vs #uefa @stoolpresidente #imauscitizenborninSF,
cholo gótico 👁∴,81970788,False,toxcatl,"Hamburgo, Alemania",2022-11-21 19:14:00+00:00,False,es,1594771125636141057,['1594771125636141057'],Twitter Web App,"@elchiringuitotv El único antecedente de #WAL contra selecciones CONCACAF es un empate vs. #MEX, que significó el primer punto de @miseleccionmx en #CopaMundialFIFA",replied_to
trymy,1540763697223589888,False,Dizzi_172,"Los Angeles, CA",2022-11-21 19:13:52+00:00,False,es,1594771092714971137,['1594771092714971137'],Twitter for iPhone,HDLV así no juego 😭😭😭😭😭😭 https://t.co/EoLhJ4PFN6,quoted
Mark Lewis,417225114,False,technoviking_14,,2022-11-21 19:13:18+00:00,False,es,1594770949190320129,['1594770949190320129'],Twitter for iPhone,@AZULKREMAS1916 @HenryMartinM @miseleccionmx @ClubAmerica Imagínate que meta 2 goles y canten su nombre 🤤🥹 ojalá @HenryMartinM 🤞,replied_to
