name,user_id,verified,username,location,created_at,possibly_sensitive,lang,tweet_id,edit_history_tweet_ids,source,text,type,geo.coordinates.type,geo.coordinates.coordinates
Soy Futbol,1483956137481363457,False,_SoyFutbol_,,2022-11-21 19:18:30+00:00,False,es,1594772258265788416,['1594772258265788416'],Twitter Web App,"Polonia ya 'avisa' a México 
https://t.co/aai4C67oF9",,,
La Capital,322674675,False,lacapital2006,Estado de Tamaulipas,2022-11-21 19:18:07+00:00,False,es,1594772161092370432,['1594772161092370432'],Twitter Web App,Selección de México a unas horas de su debut en Qatar ante Polonia https://t.co/v76ZMKzdBH #LaCapital #SelecciónMexicana #SNM #México #debut #CopaMundial #Qatar2022 #Polonia #EstrategaArgentino #GerardoMartino #futbol,,,
AD México,76682814,True,ADMEXICO,México,2022-11-21 19:16:03+00:00,False,es,1594771642328223754,['1594771642328223754'],Postcron App,En el Estadio Lusail la #SelecciónMexicana jugará su partido del Mundial #Qatar2022 https://t.co/lS6FT1unhn,,,
Diario Presente,82608449,False,DiarioPresente,Av. Pagés Llergo No.116,2022-11-21 19:14:46+00:00,False,es,1594771319693881344,['1594771319693881344'],TweetDeck,"#Villahermosa🔵 El circuito de la ciudad #deportiva viste de verde, con las ventas de las camisetas de la #SelecciónMexicana 
Vía: Carlos Castro https://t.co/zmR5uJ2TnK",,,
Fútbol Creativo,2997265384,False,futcreativo,"Torreón, Coahuila de Zaragoza",2022-11-21 19:14:03+00:00,False,es,1594771138277957632,['1594771138277957632'],Twitter Web App,"#HumorCreativo | Solo para recordar que cada que @Rayados  representa a México a nivel mundial del ridículo no pasa.

#Rayados #FunesMori #CachorroMontes #JesusGallardo #LuisRomo #HéctorMoreno #Qatar2022 #SeleccionMexicana https://t.co/X4KssHXVO9",,,
@TODUPNews,2453177977,False,TODUPNews,"Monterrey, Nuevo León, México",2022-11-21 19:06:35+00:00,False,es,1594769258193555466,['1594769258193555466'],Blog2Social APP,"Entorno de Raúl Jiménez explotó con las críticas al delantero

#México #Qatar2022 #RaúlJiménez #SelecciónMexicana #Tricolor

https://t.co/4psVEHj7uQ",,,
INFO7,65579025,True,info7mty,"Monterrey, México",2022-11-21 19:06:04+00:00,False,es,1594769129302548480,['1594769129302548480'],Twitter Web App,"Henry Martín o Funes Mori, ¿quién será el número 9 de la Selección Mexicana?🇲🇽⚽️
▶️  https://t.co/ffZQsEeSO9.

#INFO7 #INFO7Deportes #SelecciónMexicana #TRI #MundialQatar2022 #Mundial2022 #Qatar2022 https://t.co/tzkNpznUic",,,
Deportrece,765637819955937280,False,Deportrece,México,2022-11-21 19:05:58+00:00,False,es,1594769102341537797,['1594769102341537797'],Twitter Web App,"🧤 La clave de México 🔑

🤯 Los polacos afirman que Guillerrmo Ochoa es la llave del Tricolor 🇲🇽⚽

#miseleccionmx #Mexico #seleccionmexicana #GuillermoOchoa #ochoa #FIFAWorldCup #Qatar2022

https://t.co/FAQhd1DLC2",,,
🇲🇽Marco Tulio Ciseron 🇲🇽,1532150907395252224,False,RiestraPresiden,"Zapopan, Jalisco",2022-11-21 19:01:21+00:00,True,es,1594767942851272705,['1594767942851272705'],Twitter for Android,Haber si ya pasan un Pinshi partido #ElCanalDelMundial jaja #QatarWorldCup2022 #MexicoEnQatar #MexicoPolonia #LunesDeGanarSeguidores #SeleccionMexicana Encuesta #EncuestaMundialista QUIEN GANA MAÑANA?⚽🍺🇲🇽,,,
El Sol del Centro,3237466747,False,ElSoldelCentro_,"Aguascalientes, México",2022-11-21 19:00:00+00:00,False,es,1594767601569251328,['1594767601569251328'],Twitter Web App,"#futbol | Antes de que comience la participación de la #SelecciónMexicana en el #mundialdeqatar2022, los #aficionadosmexicanos  ya han hecho sentir su presencia en la sede mundialista
https://t.co/3k51LTkd8G",,,
Paco Mora,2356597920,False,79_pamoca,,2022-11-21 18:59:55+00:00,False,es,1594767581457616897,['1594767581457616897'],Twitter Web App,@maucort @fenixazul44 @ClubPueblaMX @RusoZamogilny #VamosFranja con todo en apoyo a la #SeleccionMexicana,replied_to,,
Futbol Media Oficial,1098228509594406912,False,futbolmediaofi,"Pachuca de Soto, Hidalgo",2022-11-21 18:53:31+00:00,False,es,1594765970341761024,['1594765970341761024'],Blog2Social APP,"Gerardo Martino muestra desilusión con el sentir de la afición mexicana

#GerardoMartino #México #SelecciónMexicana #Tricolor

https://t.co/0UNVQ6yubM",,,
Abel Cornejo H,1191284894,False,Abeltrader,Mexico D.F.,2022-11-21 18:46:23+00:00,False,es,1594764175984955392,['1594764175984955392'],Twitter for Android,"¡DEFINIDO EL '9' DE MÉXICO! 🚨🇲🇽

De acuerdo con Rubén Rodríguez de Fox Sports, Henry Martín será el nueve de la selección para enfrentar el día de mañana a Polonia.

#FutbolMedia #SelecciónMexicana #Qatar2022 https://t.co/2HdBT9B7Sw",,,
🇲🇽 Paco Molina,133902348,False,paco_molina63,En algún lugar del Occidente,2022-11-21 18:45:05+00:00,False,es,1594763850486022144,['1594763850486022144'],Blog2Social APP,"Guillermo Ochoa sale en defensa de Raúl Jiménez y su estado físico

#GuillermoOchoa #México #Qatar2022 #RaúlJiménez #SelecciónMexicana #Tricolor

https://t.co/hJgfCLP4CF",,,
LUIS ROCHA / Política y Estilo,60218967,False,luis_journalist,Edomex,2022-11-21 18:44:48+00:00,False,es,1594763775856742400,['1594763775856742400'],Twitter for iPhone,Hoy el Presidente @POTUS llamó a la #SeleccionEUA para motivarlos y desearles suerte. Mientras @lopezobrador_ siguió hablando de la #MarchaDelOdio y no se acordó de la #SeleccionMexicana #MundialQatar2022 #Qatar2022,,,
Ahora Tabasco Noticias,315278595,False,AhoraTabasco,"Villahermosa, Tabasco",2022-11-21 18:38:39+00:00,False,es,1594762228217036811,['1594762228217036811'],Twitter for iPhone,"Seguro que la garra de “presidente” que tenemos hará lo mismo…🙄

Ah no!!!… no es béisbol… #ChingadaMadre

#Qatar2022 
#SeleccionMexicana 
#USA 
#USASoccerTeam

¡Echa un vistazo al vídeo de Latinus! #TikTok https://t.co/g56tULV5db",,,
David Mendoza,974720390022000640,False,itsme_deezyy,"Matamoros, Tamaulipas",2022-11-21 18:38:12+00:00,False,es,1594762118183936000,['1594762118183936000'],Twitter for Android,"El programa “Fútbol Picante” de #ESPN, dedicó programa a Guillermo Ochoa, portero de la #SeleccionMexicana. Literalmente destrozaron a @yosoy8a. (VIDEO) https://t.co/ikx8bSKHIa / #Qatar2022 #QatarWorldCup2022 #Qatar #MundialQatar2022 #ESPNQatarEnStarPlus",,,
