username,user_id,verified,name,location,lang,tweet_id,source,edit_history_tweet_ids,created_at,text,possibly_sensitive,type,geo.coordinates.type,geo.coordinates.coordinates
Ezequiel22MCI,1059495451538415616,False,Ezequiel 🇦🇷,Argentina,es,1594720161399189509,Twitter for Android,['1594720161399189509'],2022-11-21 15:51:29+00:00,"#SelecciónMayor Tras el entrenamiento de hoy, el futbolista Guido Rodriguez sufrió una lesión muscular y quedará desafectado de la nómina mundialista. En su reemplazo, el CT de @Argentina,  convoca a Enzo Perez. https://t.co/mBQuSPXLPS",False,,,
TiempoDeportiv8,1503481326694850560,False,Tiempo Deportivo,,es,1594702152395796482,Twitter for Android,['1594702152395796482'],2022-11-21 14:39:55+00:00,"#SeleccionMayor 
#ArabiaSaudita

Último entrenamiento de seleccionado Argentino ante del de debut de mañana frente a #ArabiaSaudita los primeros 15 minutos fue a puertas abiertas para la prensa.

📷@Argentina https://t.co/FKhZXU5tpt",False,,,
TiempoDeportiv8,1503481326694850560,False,Tiempo Deportivo,,es,1594662476939153408,Twitter for Android,['1594662476939153408'],2022-11-21 12:02:16+00:00,"#SeleccionMayor 

Hoy hablará en conferencia de prensa el DT @lioscaloni junto a capitán #Messi un día ante del debut en @fifaworldcup_es 

#SeleccionMayor 
#Qatar2022 
#CopaDoMundoFIFA https://t.co/QcnH9E3Uwc",False,,,
MaraClaraCDMX,1505178579008729092,False,Mara Clara,,qme,1594492964646318080,Twitter for iPhone,['1594492964646318080'],2022-11-21 00:48:41+00:00,#QatarWorldCup2022 #SeleccionMayor #SeleccionMexicana #mexicoqatar #MexicoSiPuedes #MexicoManda #mexiconoticias https://t.co/ZnfckiKQhu,False,,,
El_Inspector_70,2352084661,False,Sargento Dodó,Fernando de Noronha ,es,1594469569346797568,Twitter for Android,['1594469569346797568'],2022-11-20 23:15:43+00:00,"@afa @Argentina 
NO LO HAGAN, se ponen al 70% del país en contra.
#SeleccionMayor @Notamendi30 https://t.co/TuQcS7ifoy",False,quoted,,
El_Picapiedras,1069603893636751360,False,@john Goodman,"Pilar, Buenos Aires,",qht,1594453660242542592,Twitter for Android,['1594453660242542592'],2022-11-20 22:12:30+00:00,"#NoALaCintaNegra 

#SeleccionMayor 
#AFA 
#Mundial2022",False,,,
TiempoDeportiv8,1503481326694850560,False,Tiempo Deportivo,,es,1594409654158704640,Twitter for Android,['1594409654158704640'],2022-11-20 19:17:38+00:00,"#SelecciónMayor

Cada vez falta menos para el debut de la Albiceleste a dos días del debut en #Qatar2022 hoy se entreno a puertas cerradas.

#TodosJuntos
#Messi
#Qatar2022
#MundialQatar2022
#FIFAWorldCup
#SeleccionArgentina

📷 @Argentina https://t.co/wf440eEj1C",False,,,
TiempoDeportiv8,1503481326694850560,False,Tiempo Deportivo,,es,1594409654158704640,Twitter for Android,['1594409654158704640'],2022-11-20 19:17:38+00:00,"#SelecciónMayor

Cada vez falta menos para el debut de la Albiceleste a dos días del debut en #Qatar2022 hoy se entreno a puertas cerradas.

#TodosJuntos
#Messi
#Qatar2022
#MundialQatar2022
#FIFAWorldCup
#SeleccionArgentina

📷 @Argentina https://t.co/wf440eEj1C",False,,,
TiempoDeportiv8,1503481326694850560,False,Tiempo Deportivo,,es,1594409654158704640,Twitter for Android,['1594409654158704640'],2022-11-20 19:17:38+00:00,"#SelecciónMayor

Cada vez falta menos para el debut de la Albiceleste a dos días del debut en #Qatar2022 hoy se entreno a puertas cerradas.

#TodosJuntos
#Messi
#Qatar2022
#MundialQatar2022
#FIFAWorldCup
#SeleccionArgentina

📷 @Argentina https://t.co/wf440eEj1C",False,,,
Argentina,2495199115,True,Selección Argentina 🇦🇷,Argentina,es,1594367704928075779,Twitter Web App,['1594367704928075779'],2022-11-20 16:30:57+00:00,"#SelecciónMayor Preparación a dos días de nuestro debut mundialista.

🙌🇦🇷 #TodosJuntos https://t.co/5abdssl8gk",False,,,
